paper,T,passing,clears_field_clause,hc2,top,span,hc2_over_top,deposited_ratio,recomputed_ratio,gate_floor,reproduced
iop_10.1088_0953-2048_29_3_035013,6.0,False,False,47.0,9.028228602730788,9.04250607521023,5.20589387665525,0.1885773276712792,0.19239374628106873,0.5221729328776089,False
iop_10.1088_0953-2048_29_3_035013,8.0,False,False,47.0,9.013106136982149,8.997517468050512,5.21462848497388,0.1914365418734151,0.19143654187341516,0.4636350994298409,True
springer_10.1007_s10854-026-16566-9,5.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,7.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,10.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,5.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,7.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,10.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,5.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,7.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,10.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,5.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1007_s10854-026-16566-9,7.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
