compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_field,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,5.698,0.1,0.00625,H_below_validated_reduced_field,5.863748444822501,5.770488728911439,5.9903337824493095
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,5.698,1.0,0.0625,H_below_validated_reduced_field,5.829689548107145,5.736987307516848,5.956846655293712
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,5.698,5.0,0.3125,family_field_axis_unvalidated,5.649348384046153,5.555140444614227,5.777868527590427
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.84365985511429,6.086295456232333
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.7694682668345525,5.665413894164623,5.898304846472484
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,5.390000000000001,0.1,0.00625,H_below_validated_reduced_field,5.879988855923071,5.777729865773301,6.008147671918627
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,5.390000000000001,1.0,0.0625,H_below_validated_reduced_field,5.845542565145406,5.743795264415796,5.974863487129508
Fe1Se0.93,iron_chalcogenide_11,7.0,16.0,5.390000000000001,5.0,0.3125,family_field_axis_unvalidated,5.664640571625859,5.5647442961351485,5.795834541218019
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.843659858350076,6.086148671156769
