n_kept,beta,n_used,lever_dex,field_ratio,in_temperature_window,enough_points,has_lever,clears_field_clause,admitted,beta_nofloor,beta_old_rule,n_old_rule,paper,T,was_passing
51,1.7765614999269157,51,1.1532443454470604,0.9209280303030303,True,True,True,True,True,1.7765614999269157,1.469487605053362,53,elsevier_10.1016_j.jallcom.2023.170146,15.0,True
21,1.473469829368698,21,1.177203409425049,0.9217171717171717,True,True,True,True,True,1.473469829368698,1.473469829368698,21,elsevier_10.1016_j.jallcom.2023.170146,20.0,True
17,1.9289744681601912,17,0.9711432599775262,0.8863636363636364,True,True,True,True,True,1.9289744681601912,1.267596132637853,18,elsevier_10.1016_j.jallcom.2023.170146,25.0,True
13,3.185977072062878,13,0.7121636979887257,0.7907196969696971,False,True,True,True,False,3.185977072062878,3.5905205621457874,14,elsevier_10.1016_j.jallcom.2023.170146,30.0,True
17,1.233220003161772,17,1.2211088951240865,0.9280303030302971,False,True,True,True,False,1.233220003161772,1.233220003161772,17,elsevier_10.1016_j.jallcom.2023.170146,35.0,True
13,3.1626650935592844,13,0.4582502129742951,0.6512817462677691,True,True,True,True,True,3.1626650935592844,3.1626650935592844,13,elsevier_10.1016_j.jallcom.2023.170384,2.0,True
7,10.692565358594251,7,0.20376366280940597,0.3744870041039671,True,True,False,True,True,10.692565358594251,10.692565358594251,7,elsevier_10.1016_j.jallcom.2023.170384,5.0,True
4,19.177838856353148,4,0.13065031203084132,0.25979896508654027,True,True,False,False,False,19.177838856353148,19.177838856353148,4,elsevier_10.1016_j.jallcom.2023.170384,8.0,False
5,2.7765164352847935,5,0.4771212547196624,0.6666666666666666,True,True,True,True,True,2.7765164352847935,2.7765164352847935,5,elsevier_10.1016_j.matchemphys.2023.128348,20.0,True
5,2.6097710937950103,5,0.4771212547196624,0.6666666666666666,True,True,True,True,True,2.6097710937950103,2.6097710937950103,5,elsevier_10.1016_j.matchemphys.2023.128348,20.0,True
5,2.5185927645526656,5,0.4771212547196624,0.6666666666666666,True,True,True,True,True,2.5185927645526656,2.5185927645526656,5,elsevier_10.1016_j.matchemphys.2023.128348,20.0,True
5,2.3365834670464625,5,0.4771212547196624,0.6666666666666666,True,True,True,True,True,2.3365834670464625,2.3365834670464625,5,elsevier_10.1016_j.matchemphys.2023.128348,20.0,True
3,1.5876771653783157,3,0.6434526764861875,0.6799999999999999,True,True,True,True,True,1.5876771653783157,1.5876771653783157,3,elsevier_10.1016_j.matpr.2019.05.078,5.0,True
3,1.6643944110315234,3,0.6434526764861875,0.6799999999999999,True,True,True,True,True,1.6643944110315234,1.6643944110315234,3,elsevier_10.1016_j.matpr.2019.05.078,5.0,True
