paper_key,sample,fixed_T,Hc2_T_used,Hc2_source,anchor_T,matched,source_figure_class,figure_supports,claims,anchor_row_at_fit_temperature,over_claimed,note
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=0%",5.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=0%",7.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=0%",10.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=1%",5.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=1%",7.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=1%",10.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=2%",5.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=2%",7.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=2%",10.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=3%",5.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=3%",7.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
springer_10.1007_s10854-026-16566-9,"Fe(1-x)(MWCNT)xTe0.5Se0.5, x=3%",10.0,9.2,Tier_1_extrapolated_to_low_T_anchor_11.0K,11.0,True,phase_diagram,Hc2,Hc2,False,False,"Fig. 5 Hc2(T) versus T phase diagrams calculated by using the WHH equation, and the insets present the tempera"
