pdf,n_chars,families,cap_field_vs_T,cap_jc_vs_H,both,unreadable
10.1038_s41567-026-03216-4.pdf,63743,iron_chalcogenide_11;cuprate,0,0,0,0
10.1007_s44214-022-00005-x.pdf,29484,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_srep35797.pdf,29593,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_srep25962.pdf,34369,iron_chalcogenide_11;iron_pnictide_122;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s41535-024-00688-6.pdf,36732,cuprate,0,0,0,0
10.1038_srep15268.pdf,39222,cuprate,0,0,0,0
10.1038_s41598-024-59829-3.pdf,46564,cuprate,0,1,0,0
10.1007_s13369-024-08720-4.pdf,24527,cuprate,0,0,0,0
10.1038_s42005-023-01250-9.pdf,61687,cuprate,0,0,0,0
10.1007_s43673-025-00152-y.pdf,47171,iron_chalcogenide_11;cuprate,0,0,0,0
10.1038_ncomms13074.pdf,47247,iron_pnictide_122;cuprate,0,0,0,0
10.1186_s43088-024-00550-5.pdf,46005,iron_pnictide_122;cuprate,0,0,0,0
10.1007_s40766-025-00071-6.pdf,115475,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,0,0,0,0
10.1038_s42005-025-02278-9.pdf,43032,cuprate,0,0,0,0
10.3758_s13423-025-02758-7.pdf,67356,iron_chalcogenide_11,0,0,0,0
10.1038_s41557-026-02114-9.pdf,72395,,0,0,0,0
10.1134_S0021364026600667.pdf,44667,,0,0,0,0
10.1038_s41467-025-59517-4.pdf,36438,iron_chalcogenide_11,0,0,0,0
10.1007_978-3-030-16118-7_1.pdf,55923,,0,0,0,0
10.1007_s44214-025-00090-8.pdf,31674,iron_chalcogenide_11;cuprate;iron_pnictide_1111,0,0,0,0
10.1007_s10854-026-16566-9.pdf,60813,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,1,1,0
10.1038_s43246-025-00788-1.pdf,43745,,0,0,0,0
10.1038_s41467-021-23487-0.pdf,40077,cuprate,0,0,0,0
10.1038_s42005-025-02442-1.pdf,54112,iron_chalcogenide_11,0,0,0,0
10.1007_s44214-025-00098-0.pdf,86272,iron_chalcogenide_11,0,0,0,0
10.1007_s40145-015-0177-6.pdf,33138,cuprate,0,1,0,0
10.1007_s10971-025-07063-2.pdf,101304,cuprate,0,0,0,0
10.1007_s10853-026-12546-w.pdf,73358,MgB2_class;cuprate,0,0,0,0
10.1007_978-3-030-16118-7_5.pdf,59943,,0,0,0,0
10.1007_s42114-025-01454-3.pdf,151476,MgB2_class;cuprate,0,0,0,0
10.1038_s41598-023-43424-z.pdf,60904,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate,0,1,0,0
10.1038_s41427-022-00396-2.pdf,37545,iron_chalcogenide_11;MgB2_class;cuprate,0,0,0,0
10.1186_s43094-025-00789-4.pdf,119680,MgB2_class,0,0,0,0
10.1038_s41598-026-50969-2.pdf,91561,,0,0,0,0
10.1038_s42005-021-00789-9.pdf,71869,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
10.1038_s41535-021-00401-x.pdf,58739,iron_chalcogenide_11;cuprate,0,0,0,0
10.1186_s42252-025-00073-x.pdf,102559,iron_chalcogenide_11,0,0,0,0
10.1557_s43578-026-01830-9.pdf,71340,iron_chalcogenide_11,0,0,0,0
10.1038_srep35694.pdf,61523,iron_pnictide_122,0,1,0,0
10.1038_s41427-021-00336-6.pdf,41256,iron_chalcogenide_11;iron_pnictide_122;iron_pnictide_1111,0,0,0,0
10.1038_s41598-025-97195-w.pdf,39860,MgB2_class;cuprate,0,0,0,0
10.1038_s41598-021-87475-6.pdf,58292,iron_chalcogenide_11;MgB2_class;cuprate,0,0,0,0
10.1007_978-3-030-16118-7_7.pdf,69421,,0,0,0,0
10.1007_s10291-026-02030-y.pdf,117191,cuprate,0,0,0,0
10.1038_srep05420.pdf,25920,cuprate,0,0,0,0
10.1140_epjs_s11734-025-01967-4.pdf,157785,,0,0,0,0
10.1038_s41467-025-55880-4.pdf,40167,cuprate,0,0,0,0
10.1038_s41524-025-01610-9.pdf,78293,MgB2_class,0,0,0,0
11_4_2K.pdf,22550,iron_chalcogenide_11;cuprate,0,1,0,0
Co122_4_2K.pdf,27376,iron_pnictide_122;cuprate,0,0,0,0
Nd1111_4_2K.pdf,18673,iron_pnictide_1111,0,0,0,0
10.1016_j.jallcom.2007.03.072.pdf,4342,MgB2_class;cuprate,0,0,0,0
10.1016_j.optcom.2025.131548.pdf,5474,cuprate,0,0,0,0
10.1016_j.vacuum.2021.110661.pdf,5075,iron_chalcogenide_11,0,0,0,0
10.1016_j.physc.2016.05.017.pdf,5020,iron_chalcogenide_11,0,0,0,0
10.1016_j.ijhydene.2021.05.170.pdf,2411,cuprate,0,0,0,0
10.1016_j.physleta.2012.10.028.pdf,5030,iron_chalcogenide_11;cuprate,0,0,0,0
10.1016_0921-4534(93)90778-O.pdf,3925,cuprate,0,0,0,0
10.1016_S0038-1098(96)00511-X.pdf,3861,,0,0,0,0
10.1016_j.phpro.2014.10.045.pdf,17243,iron_chalcogenide_11;iron_pnictide_122;iron_pnictide_1111,0,0,0,0
10.1016_j.physc.2018.10.003.pdf,5022,iron_pnictide_122;iron_pnictide_1111,0,0,0,0
10.1016_j.ssc.2016.07.030.pdf,4478,iron_chalcogenide_11;cuprate,0,0,0,0
10.1016_j.solidstatesciences.2024.107801.pdf,5187,iron_chalcogenide_11,0,0,0,0
10.1016_j.jallcom.2025.181077.pdf,4765,,0,0,0,0
10.1016_j.ceramint.2016.02.046.pdf,5030,cuprate,0,0,0,0
10.1016_j.physc.2009.08.013.pdf,4774,cuprate,0,0,0,0
10.1016_j.physb.2004.01.102.pdf,3074,,0,0,0,0
10.1016_j.mtcomm.2022.103433.pdf,39789,iron_chalcogenide_11;cuprate,1,1,1,0
10.1016_0964-1807(95)00079-8.pdf,3830,,0,0,0,0
10.1016_j.jssc.2014.02.024.pdf,5233,iron_chalcogenide_11;iron_pnictide_122;cuprate,0,0,0,0
10.1016_j.physc.2010.09.012.pdf,25239,cuprate;iron_pnictide_1111,0,0,0,0
10.1016_j.physc.2014.12.009.pdf,4600,MgB2_class,0,0,0,0
10.1016_S2666-0873(24)00196-0.pdf,190490,,0,0,0,0
10.1016_j.physc.2006.05.079.pdf,3678,,0,0,0,0
10.1016_S0921-4534(97)01428-7.pdf,4166,,0,0,0,0
10.1016_0925-8388(93)90762-C.pdf,3953,cuprate,0,0,0,0
10.1016_j.matlet.2018.07.055.pdf,4773,cuprate,0,0,0,0
10.1016_j.physb.2026.418403.pdf,4647,cuprate,0,0,0,0
10.1016_S0368-2048(96)90789-6.pdf,3246,,0,0,0,0
10.1016_S0921-4534(97)00554-6.pdf,3104,,0,0,0,0
10.1016_j.jiec.2019.05.037.pdf,4983,cuprate,0,0,0,0
10.1016_S0009-2614(99)01268-3.pdf,25463,,0,0,0,0
10.1016_j.physb.2008.11.192.pdf,4876,cuprate,0,0,0,0
10.1016_j.cryogenics.2025.104129.pdf,4508,cuprate,0,0,0,0
10.1016_S0022-3697(01)00249-9.pdf,3941,cuprate,0,0,0,0
10.1016_j.physc.2008.05.115.pdf,4960,,0,0,0,0
10.1016_0921-4534(94)91683-7.pdf,3483,,0,0,0,0
10.1016_j.physc.2013.09.009.pdf,5182,MgB2_class,0,0,0,0
10.1016_j.physc.2009.03.048.pdf,59623,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate;iron_pnictide_1111,1,0,0,0
10.1016_S0921-4534(01)00316-1.pdf,2908,cuprate,0,0,0,0
10.1016_j.physc.2015.08.013.pdf,5356,cuprate,0,0,0,0
10.1016_j.ceramint.2017.08.114.pdf,4980,cuprate,0,0,0,0
10.1016_S0921-4534(03)00835-9.pdf,2765,cuprate,0,0,0,0
10.1016_j.ijhydene.2018.12.048.pdf,3361,cuprate,0,0,0,0
10.1016_j.jallcom.2013.04.183.pdf,20022,cuprate,0,0,0,0
10.1016_j.inoche.2018.03.006.pdf,5782,iron_chalcogenide_11,0,0,0,0
10.1016_j.phpro.2016.04.012.pdf,12717,cuprate,0,1,0,0
10.1016_S0921-4534(00)00816-9.pdf,3743,cuprate,0,0,0,0
10.1016_j.matpr.2022.06.232.pdf,4594,iron_chalcogenide_11,0,0,0,0
10.1016_j.apsusc.2014.02.124.pdf,4538,iron_chalcogenide_11,0,0,0,0
10.1016_S0921-4534(02)02476-0.pdf,3232,cuprate,0,0,0,0
10.1016_0921-4534(94)92065-6.pdf,4637,cuprate,0,0,0,0
10.1016_B978-0-12-409509-0.00011-1.pdf,1997,,0,0,0,0
10.1016_j.isci.2021.102922.pdf,40276,iron_chalcogenide_11;iron_pnictide_122;MgB2_class;cuprate,0,0,0,0
10.1016_0921-4534(94)90584-3.pdf,3258,,0,0,0,0
10.1016_0921-4534(94)91884-8.pdf,3964,cuprate,0,0,0,0
10.1016_S0040-6090(98)01620-4.pdf,4103,cuprate,0,0,0,0
10.1016_j.supcon.2023.100081.pdf,25583,cuprate,0,0,0,0
