cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause,passing_repaired
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co3,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.99999941123929,82.46955393353959,6.462085134438504,0.1398227448580373,0.1227651283897966,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X01,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.776516435926349,0.3674610005062925,4.819420388647993,0.0979876697420954,0.1072389269307782,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,37.7,3.0,,,True,0.6666666666666666,2.7765164352847935,5,0.4771212547196624,True,True
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X02,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.609771096116281,0.159197652837177,5.0351081384580825,0.0424518716037194,0.0464598570718574,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,37.7,3.0,,,True,0.6666666666666666,2.6097710937950103,5,0.4771212547196624,True,True
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X03,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.518592769878972,0.1740100347841891,5.144504844737414,0.0464017628514274,0.0507826672693302,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,37.7,3.0,,,True,0.6666666666666666,2.5185927645526656,5,0.4771212547196624,True,True
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X04,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.336583465626456,0.1187855541494855,5.155627541325739,0.0316755244427878,0.034666088902995,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,37.7,3.0,,,True,0.6666666666666666,2.3365834670464625,5,0.4771212547196624,True,True
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,mono-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.5876771649881465,0.7429272006271876,5.883492349182975,0.315447656675639,0.202604503942605,True,ok,elsevier_10.1016_j.matpr.2019.05.078,39.0,2.5,,term Hc2 -> H_irr,True,0.6799999999999999,1.5876771653783157,3,0.6434526764861875,True,True
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,multi-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.6643944033887998,0.74211407452907,5.791065446039283,0.3151024047677053,0.2023827684456566,True,ok,elsevier_10.1016_j.matpr.2019.05.078,39.0,2.5,,term Hc2 -> H_irr,True,0.6799999999999999,1.6643944110315234,3,0.6434526764861875,True,True
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.3065084603671735,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.306508460644906,4,0.9030899869919433,True,True
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.3381881764791785,0.0469880332045984,5.858914894613055,0.0233794619484157,0.023986359622168,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.33818817622608055,4,0.9030899869919433,True,True
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417228705511,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.37754172256637464,4,0.9030899869919433,True,True
